signal,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn,injection_type,error
embedding,0.4723239284945079,0.6118861607142857,0.5331226449495563,0.519512331280658,0.5456982374485916,0.5224092911416166,0.5097878295930147,0.5352181182214982,0.13472238118355193,2193.0,2450.0,1926.0,1391.0,adversarial_fact,
entropy,0.0,0.0,0.0,0.0,0.0,0.499748016779838,0.4986437482800027,0.5007809778701549,0.051165771484375,0.0,0.0,4376.0,3584.0,adversarial_fact,
classifier,0.9953970080552359,0.9654017857142857,0.9801699716713881,0.9766627515758577,0.983355898078665,0.996047045114178,0.9949862969229164,0.997088010635812,0.27470630407333374,3460.0,16.0,4360.0,124.0,adversarial_fact,
embedding,,,,,,,,,,,,,,unknown,no_variance_in_labels
entropy,,,,,,,,,,,,,,unknown,no_variance_in_labels
classifier,,,,,,,,,,,,,,unknown,no_variance_in_labels
embedding,0.496803835397523,0.6939174107142857,0.5790454016298021,0.5658959078755723,0.5912281964045267,0.545913485080961,0.533242854719615,0.558105359352135,0.14247371423593955,2487.0,2519.0,1857.0,1097.0,random_noise,
entropy,0.5,0.0013950892857142857,0.0027824151363383415,0.0005572544085882972,0.005520287054926856,0.5005816910216441,0.4993540101783295,0.5017998052596919,0.028976058959960936,5.0,5.0,4371.0,3579.0,random_noise,
classifier,0.5726079593564776,0.7547433035714286,0.6511795859412615,0.6391488169915762,0.6633635338922281,0.700195790707022,0.6892505573239864,0.7118740924576221,0.05096869543194771,2705.0,2019.0,2357.0,879.0,random_noise,
embedding,0.5117440355095247,0.7946582423894314,0.6225672179097761,0.6104552743586243,0.6347174503326787,0.7418901002069415,0.7326461607856848,0.7511961256386009,0.2044248659980815,2767.0,2640.0,5216.0,715.0,poisonedrag_style,
entropy,0.46153846153846156,0.0017231476163124641,0.0034334763948497852,0.0011240778045608043,0.00681053936308245,0.4998930709695835,0.4988236059239893,0.501004164413384,0.07252283096313476,6.0,7.0,7849.0,3476.0,poisonedrag_style,
classifier,0.981672394043528,0.9844916714531878,0.9830800114711786,0.9799259334704936,0.9859362033235051,0.9904023244068126,0.9877436666005749,0.9927906621665589,0.3716769814491272,3428.0,64.0,7792.0,54.0,poisonedrag_style,
