method,injection_type,note,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
weighted_vote,overall,out-of-sample,0.7379369874838153,0.8027230046948357,0.7689678434899933,0.762660398633094,0.774549270276301,0.9456462333243351,0.9431970658065566,0.9478981239457283,0.41224490786009244,8549,3036,37452,2101
weighted_vote,random_noise,out-of-sample,0.4854586129753915,0.84765625,0.6173541963015647,0.6053859062300647,0.6292811022751656,0.8647805412367403,0.8587850382352362,0.8705034297635109,0.3726835437778133,3038,3220,9116,546
weighted_vote,adversarial_fact,out-of-sample,0.9627705627705627,0.9308035714285714,0.946517236487445,0.9412090008780413,0.9516681034482759,0.9818921572459236,0.9785838692215801,0.9847380382238846,0.4580746749272868,3336,129,12207,248
weighted_vote,poisonedrag_style,out-of-sample,0.9729267597606156,0.980470993681792,0.9766843083965098,0.972980112237958,0.980012504661381,0.9933987953655435,0.9914509368268626,0.9951469751646475,0.49111723817879965,3414,95,15721,68
xgboost,overall,in-sample (val),0.9692380501656412,0.9615023474178404,0.9653547018618902,0.9627044868489468,0.9678696653859766,0.9938750240029388,0.9929243345636781,0.9948882075283912,0.5944235324859619,10240,325,40163,410
xgboost,random_noise,in-sample (val),0.9081767663403016,0.9575892857142857,0.9322287111231835,0.9261803296304578,0.9377748118000058,0.9939974293082383,0.9926520396285907,0.9952303058967974,0.29392537474632263,3432,347,11989,152
xgboost,adversarial_fact,in-sample (val),0.9988385598141696,0.9598214285714286,0.9789413773477519,0.9754849038086956,0.9820950396934337,0.9932977020110998,0.9914617041811585,0.9949967847481148,0.7105193734169006,3440,4,12332,144
xgboost,poisonedrag_style,in-sample (val),0.9800796812749004,0.9890867317633544,0.9845626072041166,0.9814995329308406,0.987252372982443,0.9949825600668458,0.9930398953822093,0.9965672982230162,0.8914514183998108,3444,70,15746,38
majority_vote,overall,out-of-sample,0.9605613785752354,0.5076995305164319,0.6642914183917931,0.6562862468194356,0.672173679268501,0.8543325408884845,0.8507965236299841,0.8577012585487394,0.4,5407,222,40266,5243
majority_vote,random_noise,out-of-sample,0.35870044052863437,0.9087611607142857,0.5143714466203412,0.5028931256011479,0.5250318385243645,0.7289078581525327,0.722930133202628,0.7350546267593436,0.2,3257,5823,6513,327
majority_vote,adversarial_fact,out-of-sample,0.9781181619256017,0.6236049107142857,0.7616288975975465,0.7496486823299455,0.7742056783180972,0.8730702735062592,0.8661818005998289,0.8799505078250561,0.4,2235,50,12286,1349
majority_vote,poisonedrag_style,out-of-sample,0.9650546021840873,0.8882825962090752,0.9250785105428443,0.9186591332356033,0.9315820723781613,0.9651550611323731,0.9618124896386514,0.9683990564358549,0.4,3093,112,15704,389
