variant,removed_signal,injection_type,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
all_signals,none,overall,0.7379369874838153,0.8027230046948357,0.7689678434899933,0.762660398633094,0.774549270276301,0.9456462333243351,0.9431970658065566,0.9478981239457283,0.41224490786009244,8549,3036,37452,2101
all_signals,none,random_noise,0.4854586129753915,0.84765625,0.6173541963015647,0.6053859062300647,0.6292811022751656,0.8647805412367403,0.8587850382352362,0.8705034297635109,0.3726835437778133,3038,3220,9116,546
all_signals,none,adversarial_fact,0.9627705627705627,0.9308035714285714,0.946517236487445,0.9412090008780413,0.9516681034482759,0.9818921572459236,0.9785838692215801,0.9847380382238846,0.4580746749272868,3336,129,12207,248
all_signals,none,poisonedrag_style,0.9729267597606156,0.980470993681792,0.9766843083965098,0.972980112237958,0.980012504661381,0.9933987953655435,0.9914509368268626,0.9951469751646475,0.49111723817879965,3414,95,15721,68
no_embedding,embedding,overall,0.6213989012461477,0.8708920187793427,0.725289333750391,0.7187579915855585,0.7312484494296314,0.9439542893599495,0.9414129332069258,0.9463196793193307,0.3673068191856146,9275,5651,34837,1375
no_embedding,embedding,random_noise,0.5072196104768301,0.8429129464285714,0.6333333333333333,0.6215155973409845,0.6444130451063258,0.863291563889661,0.8567888785328052,0.8687029257737516,0.3545167163480073,3021,2935,9401,563
no_embedding,embedding,adversarial_fact,0.9976033553025764,0.9291294642857143,0.9621496677260907,0.9574743422356281,0.9665861016179595,0.980738189058302,0.9771870843293636,0.9838614563967563,0.4486490085721016,3330,8,12328,254
no_embedding,embedding,poisonedrag_style,0.976006855184233,0.9813325674899483,0.97866246598883,0.9747728226012867,0.9819889733989785,0.9927842739610053,0.9907163895945814,0.9946170810725353,0.4486490294337273,3417,84,15732,65
no_entropy,entropy,overall,0.7380006906077348,0.8027230046948357,0.7690024287127822,0.7627093875115438,0.7745673986911711,0.9456719918403923,0.943224828353642,0.9479223618400604,0.41224490786009244,8549,3035,37453,2101
no_entropy,entropy,random_noise,0.48561381074168797,0.84765625,0.6174796747967479,0.6055105594334149,0.6293435922225126,0.8647813781093664,0.8587692977150935,0.870490396638544,0.3726835437778133,3038,3218,9118,546
no_entropy,entropy,adversarial_fact,0.9627705627705627,0.9308035714285714,0.946517236487445,0.9412090008780413,0.9516681034482759,0.9818928810276542,0.9785845665406341,0.984738469740627,0.4580746749272868,3336,129,12207,248
no_entropy,entropy,poisonedrag_style,0.973744292237443,0.9798966111430213,0.9768107643859146,0.9730817202426463,0.9802463984991947,0.9934496566923992,0.9914671886934373,0.995218409071611,0.49111723817879965,3412,92,15724,70
no_classifier,classifier,overall,0.46074463779846214,0.6414084507042254,0.5362694300518135,0.5286735726726187,0.5440223186158786,0.7849298511214822,0.7801097880887987,0.7897674734542454,0.5382518721997707,6831,7995,32493,3819
no_classifier,classifier,random_noise,0.44272445820433437,0.8777901785714286,0.5885874649204864,0.5767549825255701,0.5996877318890299,0.8418807884443904,0.8350583824101567,0.8484413285727838,0.5250077899323353,3146,3960,8376,438
no_classifier,classifier,adversarial_fact,0.31479642502482624,0.5306919642857143,0.3951797215873675,0.38315933158952925,0.4077836179830576,0.6322011532376205,0.6225926932612295,0.6425036539898593,0.5189813418160294,1902,4140,8196,1682
no_classifier,classifier,poisonedrag_style,0.575738660008323,0.7946582423894314,0.6677123552123552,0.6557478628550446,0.6799764065335753,0.8868390860199589,0.8811616744264938,0.8926378984131513,0.5463733271672736,2767,2039,13777,715
no_answer_span,answer_span,overall,0.6958499600957702,0.8186854460093896,0.7522864538395169,0.7460588806516119,0.7580225687945403,0.9479980783734216,0.9456797730499842,0.9501138465948279,0.3159852233660523,8719,3811,36677,1931
no_answer_span,answer_span,random_noise,0.4464456269613863,0.9129464285714286,0.5996517914414001,0.5883244702492985,0.6107347931921228,0.864808655633338,0.859424625196494,0.8704376757678532,0.27943442883139635,3272,4057,8279,312
no_answer_span,answer_span,adversarial_fact,0.9862068965517241,0.9575892857142857,0.9716874292185731,0.9676763287526929,0.9753727285204037,0.9873942102528026,0.9847062576989896,0.9898550337090452,0.3861392207090685,3432,48,12288,152
no_answer_span,answer_span,poisonedrag_style,0.9813966800228964,0.9847788627225732,0.9830848623853211,0.9796479472941482,0.9860534371031293,0.9940691625432857,0.9920774294216527,0.9957701439931431,0.43486667874750684,3429,65,15751,53
