signal,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn,injection_type,error
embedding,0.5155376009944065,0.8336683417085428,0.6370967741935484,0.6218094972811169,0.6513906283065307,0.5264283730208833,0.5084926573518371,0.5437552052452753,0.05540904459693273,1659.0,1559.0,431.0,331.0,adversarial_fact,
entropy,0.0,0.0,0.0,0.0,0.0,0.49874371859296485,0.49750868843395074,0.4997479933834034,inf,0.0,0.0,1990.0,1990.0,adversarial_fact,
classifier,0.9831887201735358,0.9110552763819095,0.9457485654668754,0.938567515318034,0.9529360325846403,0.9809314158733367,0.9767773783501464,0.9850039526132249,0.28518742322921753,1813.0,31.0,1959.0,177.0,adversarial_fact,
embedding,0.5511727078891258,0.8316353887399464,0.6629621714041461,0.6454492375284849,0.6788601712386193,0.763275266798821,0.7501711153465528,0.7761767688273448,0.20270080568241733,1551.0,1263.0,2559.0,314.0,poisonedrag_style,
entropy,0.3333333333333333,0.0010723860589812334,0.002137894174238375,0.0,0.005339028296849973,0.49949698584321334,0.4983801636682292,0.5006999383512292,0.03811511993408203,2.0,4.0,3818.0,1863.0,poisonedrag_style,
classifier,0.9956521739130435,0.9823056300268097,0.9889338731443995,0.985305268994499,0.9920701544093845,0.9928536355767301,0.9894574116531754,0.9956345764231911,0.7716947793960571,1832.0,8.0,3814.0,33.0,poisonedrag_style,
embedding,0.5318439479826609,0.8015075376884422,0.6394066947284025,0.6227098520198394,0.6552217687237887,0.5182417110679024,0.5012505735226496,0.5360859642311419,0.09255922711976639,1595.0,1404.0,586.0,395.0,random_noise,
entropy,0.0,0.0,0.0,0.0,0.0,0.49924635741521683,0.4979582163303204,0.5005002556263964,inf,0.0,0.0,1990.0,1990.0,random_noise,
classifier,0.6637881404720783,0.5793969849246231,0.6187281996243628,0.6018208422359728,0.6365114478119291,0.6907407641221182,0.6754586550356472,0.7065590820067544,0.07959142327308655,1153.0,584.0,1406.0,837.0,random_noise,
embedding,,,,,,,,,,,,,,unknown,no_variance_in_labels
entropy,,,,,,,,,,,,,,unknown,no_variance_in_labels
classifier,,,,,,,,,,,,,,unknown,no_variance_in_labels
