method,injection_type,note,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
weighted_vote,overall,out-of-sample,0.7258141382049246,0.7816937553464499,0.7527182866556837,0.7434681988304246,0.7612277279671443,0.9316157559983149,0.9275745101044002,0.9354041558890117,0.41297125329875906,4569,1726,18016,1276
weighted_vote,random_noise,out-of-sample,0.514494964906927,0.8472361809045226,0.6402126447693184,0.625277125764747,0.6548544921374699,0.8558405090780535,0.8472036282524662,0.8645238360649832,0.3801237420937751,1686,1591,4379,304
weighted_vote,adversarial_fact,out-of-sample,0.9319654427645788,0.8673366834170855,0.8984903695991671,0.8886517110629607,0.9081094114980843,0.9496745031691118,0.9425165720730798,0.9569431837408336,0.44251989877627784,1726,126,5844,264
weighted_vote,poisonedrag_style,out-of-sample,0.9776476849387973,0.9849865951742627,0.9813034188034188,0.9767803073530733,0.9857489352614862,0.9933201976808035,0.9902910842144451,0.9959797450273263,0.5091461673699831,1837,42,7760,28
xgboost,overall,in-sample (val),0.9331871098363421,0.946278870829769,0.9396873938158342,0.9353326023578455,0.9436179403498356,0.9905870936102237,0.989054910718926,0.9919869544236022,0.618232250213623,5531,396,19346,314
xgboost,random_noise,in-sample (val),0.9265426052889324,0.9507537688442211,0.9384920634920635,0.9305986966729041,0.9459136542633465,0.9928824187941382,0.9911034238120495,0.9944048904417149,0.5055515766143799,1892,150,5820,98
xgboost,adversarial_fact,in-sample (val),0.9048780487804878,0.9321608040201005,0.9183168316831684,0.9099692862961534,0.9264103896103897,0.9824113448313594,0.9784992010755258,0.9860545118737715,0.4080955386161804,1855,195,5775,135
xgboost,poisonedrag_style,in-sample (val),0.9930032292787944,0.9892761394101877,0.9911361804995971,0.9877940373718055,0.9939594458720706,0.998223216292241,0.997128402279112,0.9992012501024797,0.9574902057647705,1845,13,7789,20
majority_vote,overall,out-of-sample,1.0,0.008041060735671514,0.015953835709436523,0.011748407367413794,0.02051210536990505,0.8418611291823634,0.836506287631023,0.8470330394965204,0.6,47,0,19742,5798
majority_vote,random_noise,out-of-sample,0.43010752688172044,0.020100502512562814,0.03840614498319731,0.026551136201119426,0.049931426145109065,0.7252750351422101,0.7162742761980835,0.7340177505818072,0.4,40,53,5917,1950
majority_vote,adversarial_fact,out-of-sample,1.0,0.01306532663316583,0.025793650793650792,0.016047742425673816,0.03538104654889286,0.843011329680227,0.8324092338216459,0.8532597361865318,0.6,26,0,5970,1964
majority_vote,poisonedrag_style,out-of-sample,1.0,0.011260053619302948,0.022269353128313893,0.013477788979008287,0.032052997858672376,0.9652234973777947,0.9607531222428903,0.969583714781267,0.6,21,0,7802,1844
