variant,removed_signal,injection_type,precision,recall,f1,f1_ci_lower,f1_ci_upper,auc_roc,auc_ci_lower,auc_ci_upper,optimal_threshold,tp,fp,tn,fn
all_signals,none,overall,0.7258141382049246,0.7816937553464499,0.7527182866556837,0.7434681988304246,0.7612277279671443,0.9316157559983149,0.9275745101044002,0.9354041558890117,0.41297125329875906,4569,1726,18016,1276
all_signals,none,random_noise,0.514494964906927,0.8472361809045226,0.6402126447693184,0.625277125764747,0.6548544921374699,0.8558405090780535,0.8472036282524662,0.8645238360649832,0.3801237420937751,1686,1591,4379,304
all_signals,none,adversarial_fact,0.9319654427645788,0.8673366834170855,0.8984903695991671,0.8886517110629607,0.9081094114980843,0.9496745031691118,0.9425165720730798,0.9569431837408336,0.44251989877627784,1726,126,5844,264
all_signals,none,poisonedrag_style,0.9776476849387973,0.9849865951742627,0.9813034188034188,0.9767803073530733,0.9857489352614862,0.9933201976808035,0.9902910842144451,0.9959797450273263,0.5091461673699831,1837,42,7760,28
no_embedding,embedding,overall,0.6951344994855211,0.8090675791274594,0.747786211258697,0.7391669613181091,0.7564728021287613,0.9308442596405522,0.9270493390395201,0.9346819908576255,0.3760952867567539,4729,2074,17668,1116
no_embedding,embedding,random_noise,0.5412186379928315,0.8346733668341708,0.6566515121565527,0.6413627192087593,0.6710613096422133,0.8612459281331278,0.8531270926218781,0.8698758633307294,0.3653882784768939,1661,1408,4562,329
no_embedding,embedding,adversarial_fact,0.9054054054054054,0.8753768844221106,0.8901379662749106,0.8805619738300181,0.9000275678659124,0.9468876627694587,0.9395564417779334,0.9541792115282296,0.40320622324943545,1742,182,5788,248
no_embedding,embedding,poisonedrag_style,0.9781682641107561,0.9849865951742627,0.9815655890996526,0.9769765593029934,0.9859535978076602,0.9927317048697899,0.9896040659331882,0.9954374968327382,0.47650347352027894,1837,41,7761,28
no_entropy,entropy,overall,0.7259294566253575,0.7816937553464499,0.752780294917209,0.7435509681591654,0.7613020381378967,0.9316295264515329,0.9275871200853053,0.9354248456070916,0.41297125329875906,4569,1725,18017,1276
no_entropy,entropy,random_noise,0.5143467643467643,0.8467336683417085,0.6399544246107102,0.6251312908483282,0.6544925964829058,0.855827125577637,0.8472096800535063,0.8645141914619463,0.3801237420937751,1685,1591,4379,305
no_entropy,entropy,adversarial_fact,0.9319654427645788,0.8673366834170855,0.8984903695991671,0.8886517110629607,0.9081094114980843,0.9496766916660353,0.9425186263520723,0.9569441028294818,0.44251989877627784,1726,126,5844,264
no_entropy,entropy,poisonedrag_style,0.9781682641107561,0.9849865951742627,0.9815655890996526,0.9771773446070361,0.9859228362877998,0.9933282385144937,0.9903010405168061,0.9959833652404484,0.5091461673699831,1837,41,7761,28
no_classifier,classifier,overall,0.4722422494592646,0.6723695466210436,0.5548104750476459,0.5448109793080103,0.5652689475371699,0.7843563491712033,0.7774808168531027,0.790990868924528,0.5347390262971685,3930,4392,15350,1915
no_classifier,classifier,random_noise,0.4787496572525363,0.8773869346733668,0.6194784459819053,0.6048244572290056,0.6347905145593007,0.8363250928006868,0.8271808334527606,0.8458957369807762,0.5250709432048439,1746,1901,4069,244
no_classifier,classifier,adversarial_fact,0.3548611111111111,0.5135678391959799,0.4197125256673511,0.40165705305138405,0.43760301114023925,0.6317842983763037,0.616930203317627,0.6448073146210723,0.5250362370327013,1022,1858,4112,968
no_classifier,classifier,poisonedrag_style,0.5858778625954199,0.8230563002680965,0.6845039018952063,0.6684971537305318,0.6996462085978556,0.8940983029717409,0.8862149393287677,0.9018436580137302,0.5448333441764308,1535,1085,6717,330
no_answer_span,answer_span,overall,0.7205192367844855,0.7881950384944397,0.7528392842552496,0.7442853602074188,0.7608608063493794,0.9353529824730469,0.9314511621717038,0.938924273495021,0.31886762065081464,4607,1787,17955,1238
no_answer_span,answer_span,random_noise,0.4561708467842066,0.9231155778894472,0.6106032906764168,0.5970485854729103,0.6250078583403185,0.8500724729173506,0.8412939166176198,0.8584002243025703,0.2832072057277316,1837,2190,3780,153
no_answer_span,answer_span,adversarial_fact,0.9794786466999446,0.8874371859296483,0.9311890324281571,0.92257619832169,0.9388926528702807,0.9621353837866047,0.9562535391688082,0.9683657816895562,0.38732717477419,1766,37,5933,224
no_answer_span,answer_span,poisonedrag_style,0.99511665762344,0.9833780160857909,0.9892125134843581,0.9857290093627303,0.9923507060716321,0.9955371998518288,0.9932250510891747,0.9975301734231213,0.4820016218166453,1834,9,7793,31
